ID,JHI_DATE,CONVERSIONVALUE,SUELDOMIN
,2012-08-15,9.66,1780.45
,2012-08-16,9.66,1780.45
,2012-08-17,9.63,1780.45
,2012-08-18,9.63,1780.45
,2012-08-19,9.68,1780.45
,2012-08-20,10.7,1780.45
,2012-08-21,10.7,1780.45
,2012-08-22,10.68,1780.45
,2012-08-23,10.64,1780.45
,2012-08-24,10.64,1780.45
,2012-08-25,10.64,1780.45
,2012-08-26,10.64,1780.45
,2012-08-27,10.68,1780.45
,2012-08-28,11.58,1780.45
,2012-08-29,11.58,1780.45
,2012-08-30,11.54,1780.45
,2012-08-31,11.54,1780.45
,2012-09-01,11.54,2047.52
,2012-09-02,11.58,2047.52
,2012-09-03,11.4,2047.52
,2012-09-04,11.4,2047.52
,2012-09-05,11.4,2047.52
,2012-09-06,11.29,2047.52
,2012-09-07,11.21,2047.52
,2012-09-08,11.21,2047.52
,2012-09-09,11.25,2047.52
,2012-09-10,11.25,2047.52
,2012-09-11,11.25,2047.52
,2012-09-12,11.26,2047.52
,2012-09-13,11.26,2047.52
,2012-09-14,11.62,2047.52
,2012-09-15,11.62,2047.52
,2012-09-16,11.62,2047.52
,2012-09-17,11.6,2047.52
,2012-09-18,12.77,2047.52
,2012-09-19,12.77,2047.52
,2012-09-20,12.55,2047.52
,2012-09-21,12.37,2047.52
,2012-09-22,12.37,2047.52
,2012-09-23,12.41,2047.52
,2012-09-24,12.41,2047.52
,2012-09-26,11.98,2047.52
,2012-09-27,12,2047.52
,2012-09-28,12,2047.52
,2012-09-29,12,2047.52
,2012-09-30,12.08,2047.52
,2012-10-01,12.08,2047.52
,2012-10-03,12.08,2047.52
,2012-10-04,12.1,2047.52
,2012-10-05,12.14,2047.52
,2012-10-07,12.14,2047.52
,2012-10-08,12.14,2047.52
,2012-10-09,12.14,2047.52
,2012-10-10,12.16,2047.52
,2012-10-11,12.16,2047.52
,2012-10-12,12.15,2047.52
,2012-10-13,12.15,2047.52
,2012-10-14,11.99,2047.52
,2012-10-15,11.99,2047.52
,2012-10-16,11.98,2047.52
,2012-10-17,12.85,2047.52
,2012-10-18,12.65,2047.52
,2012-10-19,12.65,2047.52
,2012-10-20,12.65,2047.52
,2012-10-21,12.67,2047.52
,2012-10-22,13.33,2047.52
,2012-10-23,13.43,2047.52
,2012-10-24,14.52,2047.52
,2012-10-25,14.56,2047.52
,2012-10-26,14.56,2047.52
,2012-10-27,14.56,2047.52
,2012-10-28,14.63,2047.52
,2012-10-29,14.08,2047.52
,2012-10-30,14.08,2047.52
,2012-10-31,14.07,2047.52
,2012-11-01,14.6,2047.52
,2012-11-02,14.6,2047.52
,2012-11-03,14.6,2047.52
,2012-11-04,14.04,2047.52
,2012-11-05,14.06,2047.52
,2012-11-06,13.97,2047.52
,2012-11-07,15.13,2047.52
,2012-11-08,15.13,2047.52
,2012-11-09,14.89,2047.52
,2012-11-10,14.89,2047.52
,2012-11-11,14.89,2047.52
,2012-11-12,14.93,2047.52
,2012-11-13,14.93,2047.52
,2012-11-14,14.91,2047.52
,2012-11-15,15.07,2047.52
,2012-11-16,15.07,2047.52
,2012-11-17,15.07,2047.52
,2012-11-18,15.07,2047.52
,2012-11-19,15.52,2047.52
,2012-11-20,15.53,2047.52
,2012-11-21,15.52,2047.52
,2012-11-22,17.47,2047.52
,2012-11-23,16.56,2047.52
,2012-11-24,16.56,2047.52
,2012-11-25,16.54,2047.52
,2012-11-26,16.59,2047.52
,2012-11-27,16.56,2047.52
,2012-11-28,16.56,2047.52
,2012-11-29,16.5,2047.52
,2012-11-30,16.5,2047.52
,2012-12-01,16.5,2047.52
,2012-12-02,16.5,2047.52
,2012-12-03,17.11,2047.52
,2012-12-04,17.11,2047.52
,2012-12-05,17.25,2047.52
,2012-12-06,17.53,2047.52
,2012-12-07,16.48,2047.52
,2012-12-08,16.48,2047.52
,2012-12-09,17.47,2047.52
,2012-12-10,17.48,2047.52
,2012-12-11,17.29,2047.52
,2012-12-12,17.26,2047.52
